Nr,Query,Question,Answer
13,PREFIX owl: <http://www.w3.org/2002/07/owl#>  PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>  PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  PREFIX foaf: <http://xmlns.com/foaf/0.1/>  PREFIX dc: <http://purl.org/dc/elements/1.1/>  PREFIX : <http://dbpedia.org/resource/>  PREFIX dbpedia2: <http://dbpedia.org/property/>  PREFIX dbpedia: <http://dbpedia.org/>  PREFIX skos: <http://www.w3.org/2004/02/skos/core#>  SELECT * from <http://dbpedia3.8> where { ?subject <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Car_manufacturers>. } LIMIT 7,Which car manufacturers are listed in the <http://dbpedia3.8> dataset and their corresponding information?,The following car manufacturers are listed in the <http://dbpedia3.8> dataset and their corresponding information: [Answer Limit: 7]
14,PREFIX owl: <http://www.w3.org/2002/07/owl#>  PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>  PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  PREFIX foaf: <http://xmlns.com/foaf/0.1/>  PREFIX dc: <http://purl.org/dc/elements/1.1/>  PREFIX : <http://dbpedia.org/resource/>  PREFIX dbpedia2: <http://dbpedia.org/property/>  PREFIX dbpedia: <http://dbpedia.org/>  PREFIX skos: <http://www.w3.org/2004/02/skos/core#>  SELECT *  where { ?subject <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Car_manufacturers>. } LIMIT 7,"Question: List the car manufacturers that are listed in the DBpedia category ""Car manufacturers"".","Answer: The category ""Car manufacturers"" in DBpedia lists various car manufacturers. Here are seven examples: List of current automobile marques, List of current automotive parts suppliers, MPM Motors, Matford, Willowvale Motor Industries, Chenard-Walcker, and Mobilize (marque)."
15,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbowl: <http://dbpedia.org/ontology/> PREFIX dc2: <http://purl.org/dc/terms/> PREFIX cat: <http://dbpedia.org/resource/Category:>  SELECT ?person where {     ?person a foaf:Person .    ?person dc2:subject cat:American_film_actors .    }  limit 4,Question: Can you give me the names of 4 American film actors from DBpedia?,"Answer: The names of 4 American film actors from DBpedia are Rudy Reyes (activist), Sara Ramirez, Bex Taylor-Klaus, and Billy Stritch."
16,SELECT distinct ?city where  { [] <http://dbpedia.org/ontology/city> ?city } LIMIT 5 OFFSET 500,Question: Which distinct cities are included in the database?,"Answer: The cities included in the database are Moreno Valley, California; Queen Creek, Arizona; Mesa, Arizona; Waddell, Arizona; and Prescott Valley, Arizona."
17,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> SELECT * where { ?subject <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:National_Basketball_Association_teams>. } Limit 10,"Question: ""List 10 National Basketball Association teams.""","Answer: ""The National Basketball Association teams are the San Antonio Spurs, Boston Celtics, Denver Nuggets, Detroit Pistons, Houston Rockets, Utah Jazz, Memphis Grizzlies, Sacramento Kings, Cleveland Cavaliers, and Golden State Warriors."""
18,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> SELECT ?subject ?population  where { ?subject rdf:type <http://dbpedia.org/ontology/City>. ?subject <http://dbpedia.org/ontology/populationUrban> ?population. FILTER (xsd:integer(?population) > 2000000) } ORDER BY DESC(xsd:integer(?population)) LIMIT 5,"Question: Which cities have a population greater than 2,000,000, and what is their population?","Answer: The top 5 cities with the highest population are Greater Tokyo Area with a population of 38,050,000, Jakarta with 34,540,000, Manila with 24,922,000, Chongqing with 22,251,500, and Beijing with 21,893,095."
19,PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>   SELECT Count(distinct ?film_title) where { ?film_title rdf:type <http://dbpedia.org/ontology/Film> . ?film_title rdfs:comment ?film_abstract  },Question: How many distinct film titles have an associated comment in the DBpedia dataset?,"Answer: The number of distinct film titles that have an associated comment in the DBpedia dataset is 162,133."
20,"select distinct ?property ?label where { [] a <http://dbpedia.org/ontology/Mountain>; ?property [].OPTIONAL{ ?property rdfs:label ?label. } FILTER (langMatches(lang(?label),'en'))}  limit 10",Question: Find the distinct properties and their labels for mountains in DBpedia. Show the first 10 results.,"Answer: The distinct properties for mountains in DBpedia are: name, Wikipage page ID, Wikipage revision ID, link from a Wikipage to another Wikipage, link from a Wikipage to an external page, September humidity, September percent of sun, September sun, state type, and subdivision1 type."
21,SELECT DISTINCT ?s ?label where {?s rdfs:label ?label . FILTER (lang(?label) = 'en'). ?label bif:contains 'Obama' . ?s dcterms:subject ?sub  } LIMIT 5,Question: Can you provide me with the names and labels of distinct subjects related to Obama in English language?,"Answer: Sure! Here are the names and labels of some distinct subjects related to Obama in English:

1. Presidency of Barack Obama - This subject is related to Barack Obama's presidency.
2. Allegations of Obama spying on Trump - This subject deals with allegations of Obama spying on Trump.
3. Arctic policy of Barack Obama - This subject pertains to Barack Obama's policy regarding the Arctic.
4. Obama Day - This subject refers to a day dedicated to Obama.
5. Crush on Obama - This subject revolves around the phenomenon of having a crush on Obama."
22,SELECT DISTINCT ?resource ?label where {?resource rdfs:label ?label . FILTER (lang(?label) = 'en'). ?label bif:contains 'Ferrar' . ?resource dcterms:subject ?sub  } LIMIT 4,"Question: Can you give me the distinct resources and their labels in English that contain the term ""Ferrar"" and are associated with a subject? ","Answer: Sure! Here are four examples of resources and their corresponding labels: ""Beatrice Ferrar,"" ""Bill Ferrar,"" ""Leslie Ferrar,"" and ""Ada Ferrar""."
23,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> SELECT DISTINCT ?subject ?employees ?homepage where { ?subject  rdf:type <http://dbpedia.org/class/yago/Company108058098>  .       ?subject  dbpedia2:numEmployees  ?employees         FILTER  ( xsd:integer(?employees) >= 50000 )                                     . ?subject  foaf:homepage ?homepage . }    ORDER BY  DESC(xsd:integer(?employees))   LIMIT  4,"Question: Which companies have at least 50,000 employees, according to DBpedia, and what are their official websites?","Answer: The companies with at least 50,000 employees according to DBpedia are OHE with 123,112,625,125 employees and their website is http://www.ohe-transport.de/, Shihlin Electric with 18,371,648,454 employees and their website is https://en.seec.com.tw/%7Cwww.seec.com.tw, Mitsubishi Heavy Industries with 2,275,578,486 employees and their website is https://www.mhi.com/%7Cmhi.com, and STX Corporation with 440,002,008 employees and their website is http://www.stx.co.kr."
24,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbo: <http://dbpedia.org/ontology/>  SELECT ?name ?birth ?death ?person where {?person dbo:birthPlace :Berlin . ?person dbo:birthDate ?birth . ?person foaf:name ?name . ?person dbo:deathDate ?death .FILTER (?birth < '1900-01-01'^^xsd:date) . } ORDER BY ?name LIMIT 5,"Question: List the names, birth dates, and death dates of individuals who were born in Berlin before January 1, 1900.","Answer: The following individuals were born in Berlin before January 1, 1900: Paul Hinkler (born on June 25, 1892 and died on April 13, 1945), Annot (artist) (born on December 27, 1894 and died on October 20, 1981), Ludwig Föppl (born on February 27, 1887 and died on May 13, 1976), Wilhelm Solf (born on October 5, 1862 and died on February 6, 1936), and Oscar Pletsch (born on March 26, 1830 and died on January 12, 1888)."
25,PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>PREFIX p: <http://dbpedia.org/property/>PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>SELECT * where {<http://dbpedia.org/resource/Arsenal_F.C.> p:name ?player.?player dbpedia-owl:birthPlace ?city;  dbpedia-owl:birthDate ?dob.} LIMIT 7,"List the names, birthplaces, and birthdates of the players from Arsenal Football Club. The query should return a maximum of 7 results.","The answer includes the following information: Ben White was born in Poole on October 8, 1997. Reiss Nelson was born in Elephant and Castle, Greater London on December 10, 1999. Rob Holding was born in Stalybridge on September 20, 1995. Matt Smith was born in Harlow on October 5, 2000. Matt Turner was born in Park Ridge, New Jersey on June 24, 1994. Rúnar Alex Rúnarsson was born in Reykjavík on February 18, 1995."
26,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbo: <http://dbpedia.org/ontology/>  SELECT ?name ?birth ?death ?person  where {      ?person dbpedia2:birthPlace <http://dbpedia.org/resource/Seoul> .      ?person dbo:birthDate ?birth .      ?person foaf:name ?name .      ?person dbo:deathDate ?death . } LIMIT 3,Question: ,"
Answer: 
Three individuals born in Seoul are Benjamin Whisoh Lee, born on January 1, 1935 and died on June 16, 1977; Daul Kim, born on May 31, 1989 and died on November 19, 2009; and Ho Jong-suk, born on July 16, 1908 and died on June 5, 1991."
27,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX onto: <http://dbpedia.org/ontology/> SELECT (str(?name) as ?result) ?page where {      ?band rdf:type <http://dbpedia.org/ontology/Band> .      ?band onto:genre :Indie_rock .      ?band rdfs:label ?name .      FILTER (LANG(?name) = 'en') .      ?band foaf:isPrimaryTopicOf ?page       } ORDER BY ?name LIMIT 4,"Query: Which bands belong to the genre ""Indie rock"" and have English names? Provide me with the first 4 band names along with their corresponding Wikipedia pages.","Answer: The names of the first 4 bands that belong to the ""Indie rock"" genre and have English names are: "".Feast"" (Wikipedia page: http://en.wikipedia.org/wiki/.Feast), ""10-Feet"" (Wikipedia page: http://en.wikipedia.org/wiki/10-Feet), ""12 Rods"" (Wikipedia page: http://en.wikipedia.org/wiki/12_Rods), and ""13 & God"" (Wikipedia page: http://en.wikipedia.org/wiki/13_&_God)."
28,select (MIN(?l3) as ?l3)  (MIN(?l2) as ?l2)  ?c where {?c rdfs:label 'Paris'@en. ?c rdfs:label ?l3. ?c rdf:type ?t. ?t rdfs:label ?l2. } group by ?c  order by ?l3,Question: Find the minimum label for the classification type of the entity named 'Paris'.,"Answer: The minimum label for the classification type and the minimum label for the entity named 'Paris' is 'Paris, Thing' with the identifier 'http://dbpedia.org/resource/Paris'."
29,select ?actor where { <http://dbpedia.org/resource/The_Butcher_Boy_(1917_film)> <http://dbpedia.org/ontology/starring> ?actor. },"Question: Who starred in the film ""The Butcher Boy"" (1917)?","Answer: The film ""The Butcher Boy"" (1917) starred actors Roscoe Arbuckle, Buster Keaton, Al St. John, Alice Lake, Charles Dudley, Joe Bordeaux, Luke the Dog, Arthur Earle, and Josephine Stevens."
30,select ?director where { <http://dbpedia.org/resource/The_Moon_Is_Blue> <http://dbpedia.org/ontology/director> ?director. },"Question: Who directed the movie ""The Moon Is Blue""?","Answer: The movie ""The Moon Is Blue"" was directed by Otto Preminger."
31,select ?lan where { <http://dbpedia.org/resource/The_Way_of_the_Gun> <http://dbpedia.org/property/language> ?lan. },"Which language is spoken in the film ""The Way of the Gun""?","The language spoken in the film ""The Way of the Gun"" is English."
32,select ?date where { <http://dbpedia.org/resource/Lone_Wolf_McQuade> <http://dbpedia.org/ontology/releaseDate> ?date. },"Question: When was the release date of the movie ""Lone Wolf McQuade""?","Answer: The release date of the movie ""Lone Wolf McQuade"" was April 15, 1983."
33,select ?date where { <http://dbpedia.org/resource/Festival_in_Cannes> <http://dbpedia.org/ontology/releaseDate> ?date. },Question: What is the release date of the Festival in Cannes?,"Answer: I am sorry, but I don't have the information about the release date of the Festival in Cannes."
34,select ?con from <http://dbpedia3.8> where { <http://dbpedia.org/resource/Sonnenallee> <http://dbpedia.org/property/country> ?con. },Question: What is the country of the resource Sonnenallee in DBpedia?,Answer: The country of the resource Sonnenallee in DBpedia is Germany.
35,SELECT DISTINCT * where {<http://dbpedia.org/resource/Category:Biology> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property,"Question: ""Retrieve distinct properties and their corresponding values for the category 'Biology' from DBpedia, excluding 'depiction' property. Display the results ordered by the property.""","Answer: The distinct properties and their values for the category 'Biology' include: 'wikiPageUsesTemplate', 'Commons_category', 'Portal', 'Cat_main', 'Cat_diffuse', 'type', 'Concept', 'label', 'Biology', 'broader', and 'wasDerivedFrom'. Unfortunately, I do not know the number of results."
36,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>         SELECT * where {         ?s a dbo:Place  .         ?s geo:lat ?lat .         ?s geo:long ?long .   FILTER (?lat > 15  && ?lat < 20) .      FILTER (?long > 15 && ?long < 20) .  },Question: What are some places with latitude and longitude coordinates between 15 and 20?,"Answer: Some places that meet the criteria are Auwers (crater) with latitude 15.1 and longitude 17.2, Ouadi Rimé-Ouadi Achim Faunal Reserve with latitude 15.5166 and longitude 19.6666, Kouba Olanga with latitude 15.75 and longitude 18.3, Menelaus (crater) with latitude 16.3 and longitude 16.0, Tacquet (crater) with latitude 16.6 and longitude 19.2, and so on."
37,SELECT ?property ?hasValue ?isValueOf where {   { <http://dbpedia.org/resource/Real_Madrid_C.F.> ?property ?hasValue }   UNION   { ?isValueOf ?property <http://dbpedia.org/resource/Real_Madrid_C.F.> } } LIMIT 3,"Question: Please provide information about properties, values, and relations related to Real Madrid C.F.","Answer: Real Madrid C.F. has multiple properties and values associated with it. For example, it is classified as an association football club established in 1902 and also as an association football magazine. Additionally, Real Madrid C.F. is categorized as a La Liga club."
38,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX dct: <http://purl.org/dc/terms/>  SELECT *  where{     { ?team a dbpedia-owl:SportsTeam }    }  Limit 3,Question: Which sports teams are represented in the DBpedia dataset?,"Answer: Some examples of sports teams in the DBpedia dataset include ""Caballero (cycling team)"", ""Caballeros de Culiacán"", and ""Caciques de Humacao""."
39,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbo: <http://dbpedia.org/ontology/>  SELECT ?manufacturer ?name ?car where {     ?car <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Luxury_vehicles> .     ?car foaf:name ?name .     ?car dbo:manufacturer ?man .     ?man foaf:name ?manufacturer } ORDER by ?manufacturer ?name LIMIT 5,Query: Show me a list of the top 5 luxury vehicles and their manufacturers.,"Answer: The top 5 luxury vehicles and their manufacturers are as follows: Isotta Fraschini Tipo 8A, manufactured by Isotta Fraschini; Isotta Fraschini Tipo 8C Monterosa, manufactured by Isotta Fraschini; Jensen PW, manufactured by Jensen (trading as GAZ); GAZ-12 ZIM, manufactured by ACF Industries LLC; and Car 553, manufactured by ACF Industries LLC."
40,SELECT ?film WHERE { ?film rdf:type dbo:Film . } LIMIT 5,Question: Can you show me five film resources from DBpedia?,"Answer: Here are five film resources from DBpedia: Ca-bau-kan, Cab Calloway's Jitterbug Party, Cab No. 13, Cab Number 13, and Caballerango."
41,SELECT ?book WHERE { ?book rdf:type dbo:Book . } LIMIT 5,Question: Can you retrieve the names of 5 books from the database?,"Answer: Here are 5 book titles: ""Cabal (novella)"", ""Caddo Valley Academy Complex"", ""Cafe Little Wish"", ""Cage on the Sea"", and ""Caigentan""."
42,SELECT ?actor WHERE { ?actor rdf:type dbo:Actor . } LIMIT 5,Question: Who are the first 5 actors listed in the DBpedia database?,"Answer: The first 5 actors listed in the DBpedia database are Caitlin Blackwood, Calli Cox, Cameron Cuffe, Cameron Hall, and Camilla Lundén."
43,SELECT ?director WHERE { ?director rdf:type dbo:Director . } LIMIT 5,"Question: ""Who are the directors of movies?""","Answer: ""I'm sorry, but I don't know the directors of any movies."""
